season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
4,0,11,0,0,2,1,1,0.56,0.5303,0.64,0.3582,7,15,22
1,0,2,21,0,6,0,1,0.28,0.2727,0.65,0.2537,9,59,68
4,1,11,12,0,3,1,1,0.44,0.4394,0.41,0.19399999999999998,74,270,344
1,1,1,7,0,2,1,2,0.18,0.19699999999999998,0.93,0.1642,3,219,222
1,1,3,16,0,1,1,1,0.3,0.2727,0.45,0.2985,30,180,210
1,0,2,2,0,0,0,2,0.2,0.2273,0.75,0.0896,1,19,20
2,1,6,15,0,0,0,1,0.66,0.6212,0.5,0.2239,203,260,463
3,0,9,6,0,4,1,3,0.62,0.5455,0.94,0.1642,1,55,56
4,0,10,11,0,2,1,1,0.52,0.5,0.48,0.2836,46,120,166
1,1,2,14,0,1,1,1,0.4,0.4091,0.35,0.1642,14,126,140
3,1,7,16,0,4,1,1,0.92,0.8333,0.33,0.2537,109,324,433
2,1,4,14,0,2,1,1,0.64,0.6212,0.27,0.2836,59,198,257
1,1,2,22,0,5,1,1,0.36,0.3485,0.4,0.2239,15,92,107
3,1,7,16,0,2,1,1,0.8,0.7273,0.43,0.2239,89,346,435
1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16
3,0,8,3,0,1,1,1,0.66,0.5909,0.89,0.0,1,0,1
1,1,12,13,0,5,1,2,0.32,0.2879,0.39,0.4179,26,214,240
4,0,12,11,0,0,0,1,0.26,0.303,0.35,0.0,31,166,197
2,0,4,13,0,0,0,1,0.7,0.6515,0.58,0.2836,205,236,441
3,1,8,11,0,1,1,1,0.66,0.6212,0.65,0.1045,90,151,241
3,0,6,13,0,3,1,1,0.8,0.6970000000000001,0.31,0.3284,45,186,231
2,1,4,0,0,5,1,1,0.54,0.5152,0.68,0.5522,12,61,73
4,0,10,19,0,3,1,1,0.58,0.5455,0.56,0.1343,40,334,374
3,1,8,20,0,6,0,3,0.66,0.5909,0.89,0.4179,31,129,160
4,1,11,6,0,5,1,2,0.3,0.3182,0.61,0.0896,4,126,130
1,1,3,0,0,1,1,1,0.38,0.3939,0.54,0.19399999999999998,4,20,24
1,1,1,23,0,4,1,1,0.26,0.2273,0.48,0.3284,1,55,56
4,1,10,12,0,2,1,2,0.62,0.6212,0.46,0.0896,80,298,378
2,0,3,22,0,3,1,3,0.24,0.2273,0.93,0.2239,3,21,24
3,1,9,9,0,3,1,1,0.74,0.6970000000000001,0.7,0.2537,27,263,290
4,1,10,3,0,3,1,2,0.3,0.3182,0.81,0.1045,0,3,3
4,0,10,4,0,0,0,1,0.34,0.3636,0.87,0.0,5,1,6
1,1,2,5,0,0,0,2,0.26,0.2273,0.48,0.2985,1,1,2
4,0,9,10,0,5,1,1,0.6,0.6061,0.64,0.0,46,122,168
4,1,9,18,0,0,0,1,0.52,0.5,0.59,0.4478,91,310,401
2,1,4,16,0,5,1,1,0.5,0.4848,0.22,0.4179,184,352,536
3,1,9,8,0,0,0,1,0.54,0.5152,0.64,0.1642,34,94,128
4,0,10,20,0,0,0,2,0.36,0.3333,0.76,0.2537,16,71,87
3,0,6,2,0,5,1,1,0.66,0.6061,0.83,0.3284,4,10,14
2,1,5,12,0,3,1,1,0.7,0.6515,0.54,0.19399999999999998,59,271,330
3,1,8,13,0,2,1,2,0.8,0.7424,0.52,0.19399999999999998,68,185,253
1,0,3,4,0,3,1,1,0.24,0.2576,0.75,0.1045,0,2,2
4,0,11,0,0,2,1,2,0.36,0.3485,0.87,0.1642,3,18,21
1,1,1,21,0,1,1,2,0.2,0.2576,0.93,0.0,1,78,79
3,0,9,14,0,3,1,2,0.66,0.6212,0.74,0.19399999999999998,40,139,179
2,0,5,9,0,0,0,1,0.56,0.5303,0.52,0.2239,48,112,160
2,0,4,13,0,1,1,2,0.56,0.5303,0.49,0.1642,41,128,169
2,1,4,6,0,6,0,1,0.34,0.3333,0.76,0.1642,2,19,21
4,0,11,20,0,4,1,2,0.36,0.3333,0.62,0.2836,8,160,168
